ID,BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
13658,3,1,Hot Water Rad,Y,1,6,3,1917,2011,1954,2,2/4/2002 0:00,289000,Q,1,1380,1,2 Story,Row End,Average,Good,Common Brick,Built Up,Hardwood,1,0,11,1083,7/22/2018 18:01,Residential,,,1244 D STREET SE,WASHINGTON,DC,20003,18S UJ 27502 05817,38.88429657,-76.98875834,Old City 1,039 M Old City 1,6900,006900 1004,Ward 6,1017,-76.98914013,38.88483418,SE
77489,2,1,Forced Air,Y,1,6,3,1954,2010,1972,2,12/10/2010 0:00,239999,Q,1,1184,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood/Carp,1,0,11,1696,7/22/2018 18:01,Residential,,,2207 14TH STREET NE,WASHINGTON,DC,20018,18S UJ 28092 09707,38.91945241,-76.98293524,Brentwood,005 A Brentwood,9102,009102 3003,Ward 5,4118,-76.98298799,38.92044954,NE
88736,2,0,Warm Cool,Y,1,6,3,1925,1996,1947,1,1/23/2009 0:00,102000,U,1,1080,1,1 Story,Single,Fair Quality,Average,Vinyl Siding,Comp Shingle,Carpet,1,1,12,2689,7/22/2018 18:01,Residential,,,5925 CLAY STREET NE,WASHINGTON,DC,20019,18S UJ 33892 06612,38.89269322,-76.91532567,Deanwood,018 C Deanwood,7808,007808 2012,Ward 7,5273,-76.91588465,38.8911202,NE
6204,1,1,Forced Air,Y,1,5,2,1900,2010,1964,2,10/25/2010 0:00,440000,Q,1,1204,1,2 Story,Row Inside,Average,Very Good,Common Brick,Built Up,Hardwood,1,0,11,969,7/22/2018 18:01,Residential,,,1630 4TH STREET NW,WASHINGTON,DC,20001,18S UJ 25176 08938,38.91194407,-77.0163579,Old City 2,040 A Old City 2,4600,004600 2009,Ward 5,509,-77.01762684,38.91177626,NW
47834,3,1,Hot Water Rad,Y,1,8,3,1920,2009,1969,2,8/10/2016 0:00,749000,Q,4,1812,1,2 Story,Row End,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,0,11,1981,7/22/2018 18:01,Residential,,,5500 13TH STREET NW,WASHINGTON,DC,20011,18S UJ 24105 13894,38.9563677,-77.02997382,16th Street Heights,049 B 16th Street Heights,2002,002002 2005,Ward 4,2801,-77.03103727,38.95664568,NW
96546,2,1,Warm Cool,Y,1,6,3,1955,2004,1973,2,3/13/2012 0:00,345000,Q,1,2010,1,2 Story,Single,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1,2,12,9107,7/22/2018 18:01,Residential,,,3104 O STREET SE,WASHINGTON,DC,20020,18S UJ 29749 04513,38.87299494,-76.96254893,Hillcrest,028 B Hillcrest,9901,009901 1008,Ward 7,5543,-76.96278516,38.87365123,SE
105711,1,0,Forced Air,Y,1,6,3,1941,2004,1954,2,6/22/2018 0:00,205706,Q,6,1008,1,2 Story,Semi-Detached,Average,Average,Common Brick,Comp Shingle,Hardwood,1,0,13,2340,7/22/2018 18:01,Residential,,,1107 CONGRESS STREET SE,WASHINGTON,DC,20032,18S UJ 27224 01027,38.84110382,-76.99076017,Congress Heights,016 B Congress Heights,7304,007304 2006,Ward 8,5935,-76.99059887,38.84111126,SE
50688,3,1,Forced Air,Y,1,10,4,1925,2013,1978,2,5/17/2017 0:00,710000,Q,7,1640,1,2 Story,Row Inside,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,11,1700,7/22/2018 18:01,Residential,,,5109 ILLINOIS AVENUE NW,WASHINGTON,DC,20011,18S UJ 24554 13434,38.95230945,-77.02467667,Petworth,042 B Petworth,2101,002101 4006,Ward 4,3004,-77.02439936,38.95251507,NW
44788,2,1,Hot Water Rad,Y,1,6,3,1919,2013,1969,2,9/20/1999 0:00,117000,U,1,2176,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,1,11,2000,7/22/2018 18:01,Residential,,,1424 CRITTENDEN STREET NW,WASHINGTON,DC,20011,18S UJ 23730 12862,38.94699267,-77.03403589,16th Street Heights,049 A 16th Street Heights,2501,002501 2005,Ward 4,2704,-77.03359119,38.94668167,NW
55385,2,0,Forced Air,Y,1,7,4,1936,2015,1964,2,2/18/2016 0:00,560000,Q,3,1120,1,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1,0,13,2130,7/22/2018 18:01,Residential,,,625 TEWKESBURY PLACE NW,WASHINGTON,DC,20012,18S UJ 24803 15180,38.96808457,-77.02225128,Brightwood,006 D Brightwood,1901,001901 4010,Ward 4,3197,-77.02135565,38.96778075,NW
16179,1,1,Warm Cool,Y,1,5,2,1923,1979,1957,2,1/18/2000 0:00,113500,Q,1,1020,1,2 Story,Row Inside,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,11,1190,7/22/2018 18:01,Residential,,,1628 A STREET NE,WASHINGTON,DC,20002,18S UJ 28169 06557,38.89109288,-76.98126107,Old City 1,039 G Old City 1,8002,008002 1004,Ward 6,1083,-76.9814457,38.89142874,NE
50412,3,1,Hot Water Rad,Y,1,6,3,1948,2012,1968,2,5/13/2013 0:00,396000,Q,1,1088,1,2 Story,Semi-Detached,Average,Good,Common Brick,Built Up,Hardwood,1,0,13,2325,7/22/2018 18:01,Residential,,,7624 9TH STREET NW,WASHINGTON,DC,20012,18S UJ 24546 16780,38.98244038,-77.02563109,Brightwood,006 B Brightwood,10300,010300 2008,Ward 4,2961,-77.02520738,38.98227639,NW
35214,3,1,Warm Cool,Y,1,11,6,1926,2000,1972,2.25,8/3/2000 0:00,801815,Q,1,2462,1,2.5 Story Fin,Single,Very Good,Very Good,Wood Siding,Comp Shingle,Hardwood,1,1,12,6909,7/22/2018 18:01,Residential,,,3318 QUESADA STREET NW,WASHINGTON,DC,20015,18S UJ 20857 15305,38.96841303,-77.06781416,Chevy Chase,011 C Chevy Chase,1500,001500 2005,Ward 4,2011,-77.06772754,38.96841963,NW
88323,2,0,Hot Water Rad,Y,2,6,5,1925,2006,1954,1,4/11/2007 0:00,280000,Q,1,878,1,1.5 Story Fin,Single,Average,Average,Vinyl Siding,Comp Shingle,Hardwood,2,1,24,5000,7/22/2018 18:01,Residential,,,5321 JAY STREET NE,WASHINGTON,DC,20019,18S UJ 33191 07585,38.90132392,-76.92364286,Deanwood,018 C Deanwood,7807,007807 2001,Ward 7,5206,-76.92375907,38.90117407,NE
77192,4,1,Forced Air,Y,1,8,4,1928,2013,1967,2,4/12/2016 0:00,680000,Q,5,2406,1,2 Story,Single,Above Average,Good,Aluminum,Comp Shingle,Hardwood,1,1,12,3825,7/22/2018 18:01,Residential,,,3408 20TH STREET NE,WASHINGTON,DC,20018,18S UJ 28686 11149,38.93254866,-76.97645468,Woodridge,056 A Woodridge,9400,009400 2011,Ward 5,4204,-76.97804048,38.93289075,NE
